Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,assemblyName,Mean,Error,StdDev,Median,Ratio,RatioSD,Rank,Allocated
StartWith_Ordinal,.NET Framework 4.7.2,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.7.2,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Kobo.(...)erred [24],14.06 ns,0.316 ns,0.758 ns,13.93 ns,0.13,0.01,1,0 B
StartWith_OrdinalIgnoreCase,.NET Framework 4.7.2,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.7.2,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Kobo.(...)erred [24],31.85 ns,0.615 ns,1.663 ns,31.50 ns,0.29,0.02,2,0 B
IsPrefix_Ordinal,.NET Framework 4.7.2,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.7.2,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Kobo.(...)erred [24],34.04 ns,0.765 ns,2.144 ns,33.50 ns,0.29,0.02,3,0 B
IsPrefix_OrdinalIgnoreCase,.NET Framework 4.7.2,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.7.2,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Kobo.(...)erred [24],49.53 ns,1.026 ns,2.295 ns,48.73 ns,0.44,0.03,4,0 B
StartWith_Invariant,.NET Framework 4.7.2,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.7.2,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Kobo.(...)erred [24],99.37 ns,1.869 ns,1.835 ns,99.18 ns,0.88,0.02,5,0 B
IsPrefix,.NET Framework 4.7.2,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.7.2,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Kobo.(...)erred [24],109.82 ns,1.795 ns,2.458 ns,109.40 ns,0.98,0.03,6,0 B
StartWith_InvariantCultureIgnoreCase,.NET Framework 4.7.2,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.7.2,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Kobo.(...)erred [24],111.65 ns,2.345 ns,6.689 ns,110.56 ns,0.97,0.05,6,0 B
StartWith,.NET Framework 4.7.2,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.7.2,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Kobo.(...)erred [24],112.37 ns,2.259 ns,3.015 ns,111.33 ns,1.00,0.00,6,0 B
StartWith_IgnoreCaseTrue_CurrentCulture,.NET Framework 4.7.2,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.7.2,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Kobo.(...)erred [24],119.30 ns,2.402 ns,4.798 ns,117.54 ns,1.08,0.06,7,0 B
IsPrefix_IgnoreCase,.NET Framework 4.7.2,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.7.2,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Kobo.(...)erred [24],119.81 ns,2.790 ns,8.051 ns,116.64 ns,1.11,0.09,7,0 B
